[2026-07-16 09:43:59][INFO] 从配置加载了 36 个种子URL
[2026-07-16 09:43:59][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg.htm] 25607 bytes
[2026-07-16 09:44:00][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/186.htm] 25942 bytes
[2026-07-16 09:44:00][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/186.htm] 25942 bytes
[2026-07-16 09:44:01][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/185.htm] 25954 bytes
[2026-07-16 09:44:01][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/185.htm] 25954 bytes
[2026-07-16 09:44:02][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/184.htm] 25859 bytes
[2026-07-16 09:44:02][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/184.htm] 25859 bytes
[2026-07-16 09:44:03][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/183.htm] 25916 bytes
[2026-07-16 09:44:04][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/183.htm] 25916 bytes
[2026-07-16 09:44:04][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/182.htm] 25978 bytes
[2026-07-16 09:44:05][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9777.htm] 78342 bytes
[2026-07-16 09:44:05][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9776.htm] 27440 bytes
[2026-07-16 09:44:06][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9774.htm] 40955 bytes
[2026-07-16 09:44:06][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9771.htm] 32154 bytes
[2026-07-16 09:44:07][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9745.htm] 51323 bytes
[2026-07-16 09:44:07][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9787.htm] 37111 bytes
[2026-07-16 09:44:08][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9762.htm] 31627 bytes
[2026-07-16 09:44:08][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9746.htm] 55036 bytes
[2026-07-16 09:44:10][INFO] 抓取成功 [https://jwc.scu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1069&wbnewsid=9772] 2244 bytes
[2026-07-16 09:44:10][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/182.htm] 25978 bytes
[2026-07-16 09:44:11][INFO] 抓取成功 [https://jwc.scu.edu.cn/tzgg/181.htm] 25927 bytes
[2026-07-16 09:44:11][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9741.htm] 40625 bytes
[2026-07-16 09:44:12][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9737.htm] 26724 bytes
[2026-07-16 09:44:13][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9733.htm] 36177 bytes
[2026-07-16 09:44:13][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9731.htm] 39480 bytes
[2026-07-16 09:44:14][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9719.htm] 28022 bytes
[2026-07-16 09:44:14][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9714.htm] 37971 bytes
[2026-07-16 09:44:15][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9710.htm] 34273 bytes
[2026-07-16 09:44:15][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9740.htm] 72243 bytes
[2026-07-16 09:44:16][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9738.htm] 37935 bytes
[2026-07-16 09:44:16][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9730.htm] 35752 bytes
[2026-07-16 09:44:17][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9723.htm] 40845 bytes
[2026-07-16 09:44:18][INFO] 抓取成功 [https://jwc.scu.edu.cn/info/1069/9721.htm] 26792 bytes
[2026-07-16 09:44:18][WARN] HTTP 412 https://gs.scu.edu.cn/index/xwdt.htm
[2026-07-16 09:44:18][INFO] 抓取成功 [https://xgb.scu.edu.cn/index/tzgg.htm] 23502 bytes
[2026-07-16 09:44:20][INFO] 抓取成功 [https://xgb.scu.edu.cn/index/tzgg/90.htm] 24226 bytes
[2026-07-16 09:44:20][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4308.htm] 35143 bytes
[2026-07-16 09:44:20][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4306.htm] 27569 bytes
[2026-07-16 09:44:21][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4305.htm] 24744 bytes
[2026-07-16 09:44:22][INFO] 抓取成功 [https://xgb.scu.edu.cn/index/tzgg/89.htm] 24140 bytes
[2026-07-16 09:44:22][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4304.htm] 29048 bytes
[2026-07-16 09:44:22][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4301.htm] 24876 bytes
[2026-07-16 09:44:23][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4298.htm] 30615 bytes
[2026-07-16 09:44:23][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4296.htm] 25865 bytes
[2026-07-16 09:44:24][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4294.htm] 21217 bytes
[2026-07-16 09:44:25][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4285.htm] 30763 bytes
[2026-07-16 09:44:25][INFO] 抓取成功 [https://xgb.scu.edu.cn/index/tzgg/88.htm] 23833 bytes
[2026-07-16 09:44:26][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4288.htm] 24982 bytes
[2026-07-16 09:44:26][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4286.htm] 34909 bytes
[2026-07-16 09:44:27][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4282.htm] 22942 bytes
[2026-07-16 09:44:27][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4281.htm] 30319 bytes
[2026-07-16 09:44:28][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4270.htm] 27375 bytes
[2026-07-16 09:44:28][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4267.htm] 22703 bytes
[2026-07-16 09:44:29][INFO] 抓取成功 [https://xgb.scu.edu.cn/index/tzgg/87.htm] 23825 bytes
[2026-07-16 09:44:29][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4266.htm] 35459 bytes
[2026-07-16 09:44:30][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4264.htm] 33462 bytes
[2026-07-16 09:44:30][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4263.htm] 36579 bytes
[2026-07-16 09:44:31][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4262.htm] 36413 bytes
[2026-07-16 09:44:31][INFO] 抓取成功 [https://xgb.scu.edu.cn/info/1003/4261.htm] 31526 bytes
[2026-07-16 09:44:32][INFO] 抓取成功 [https://jy.scu.edu.cn/index/index/newslist.html?data=MQ] 28537 bytes
[2026-07-16 09:44:33][INFO] 抓取成功 [https://global.scu.edu.cn/?notice] 18237 bytes
[2026-07-16 09:44:34][INFO] 抓取成功 [https://global.scu.edu.cn/?notice&page=10] 17956 bytes
[2026-07-16 09:44:35][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3881] 14713 bytes
[2026-07-16 09:44:36][INFO] 抓取成功 [https://global.scu.edu.cn/?notice&page=11] 18306 bytes
[2026-07-16 09:44:36][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3865] 21948 bytes
[2026-07-16 09:44:37][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3868] 23632 bytes
[2026-07-16 09:44:38][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3870] 45955 bytes
[2026-07-16 09:44:38][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3871] 35202 bytes
[2026-07-16 09:44:39][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3878] 50460 bytes
[2026-07-16 09:44:40][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3879] 110313 bytes
[2026-07-16 09:44:40][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3863] 16031 bytes
[2026-07-16 09:44:41][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3880] 14713 bytes
[2026-07-16 09:44:42][INFO] 抓取成功 [https://global.scu.edu.cn/?notice&page=12] 18209 bytes
[2026-07-16 09:44:42][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3828] 19054 bytes
[2026-07-16 09:44:43][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3831] 27627 bytes
[2026-07-16 09:44:44][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3833] 23737 bytes
[2026-07-16 09:44:45][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3834] 24191 bytes
[2026-07-16 09:44:45][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3837] 23765 bytes
[2026-07-16 09:44:46][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3838] 22222 bytes
[2026-07-16 09:44:47][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3839] 23289 bytes
[2026-07-16 09:44:47][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3843] 51353 bytes
[2026-07-16 09:44:48][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3844] 23532 bytes
[2026-07-16 09:44:49][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3847] 25130 bytes
[2026-07-16 09:44:49][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3848] 24639 bytes
[2026-07-16 09:44:50][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3849] 35703 bytes
[2026-07-16 09:44:51][INFO] 抓取成功 [https://global.scu.edu.cn/?notice/_/3850] 17276 bytes
[2026-07-16 09:44:51][INFO] 抓取成功 [https://rsc.scu.edu.cn/index/xwdt.htm] 27794 bytes
[2026-07-16 09:44:55][INFO] 抓取成功 [https://rsc.scu.edu.cn/index/xwdt/9.htm] 28317 bytes
[2026-07-16 09:44:57][INFO] 抓取成功 [https://rsc.scu.edu.cn/index/xwdt/8.htm] 28657 bytes
[2026-07-16 09:44:58][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/tzgg.htm] 15038 bytes
[2026-07-16 09:44:59][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/tzgg/69.htm] 15456 bytes
[2026-07-16 09:44:59][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12743.htm] 12108 bytes
[2026-07-16 09:45:00][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12741.htm] 23009 bytes
[2026-07-16 09:45:00][INFO] 抓取成功 [https://hqbzb.scu.edu.cn/info/1023/12740.htm] 20602 bytes
